,,,,,,,,,,,,,,,,,
Liquidity Operations by RBI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(Rupees Crores),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Liquidity Adjustment Facility,,,,,,,,OMO (Outright),,,,,,,,
Date ,Repo,Reverse Repo,Variable Rate Repo,Variable Rate Reverse Repo,MSF,SDF,Standing Liquidity Facilities,Market Stabilisation Scheme,Sale,Purchase,Long Term Repo Operations,Targeted Long Term Repo Operations,Special Liquidity Facility for Mutual Funds,Special Liquidity Scheme for NBFCs/ HFCs,Special Long - Term Repo Operations for Small Finance Banks,Special Reverse Repo,Net Injection (+)/ Absorption (-) (1+3+5+7+10-2-4-6-9)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Jun 29, 2025",-,-,-,-,141,"1,53,631",0,-,-,-,-,-,-,-,-,-,"-1,53,490"
"Jun 28, 2025",-,-,-,-,436,"1,55,844",0,-,-,-,-,-,-,-,-,-,"-1,55,408"
"Jun 27, 2025",-,-,-,"84,975","1,065","2,23,883",0,-,-,-,-,-,-,-,-,-,"-3,07,793"
"Jun 26, 2025",-,-,-,-,"1,826","2,79,877",577,-,-,-,-,-,-,-,-,-,"-2,77,474"
"Jun 25, 2025",-,-,-,-,"1,309","2,55,293",-599,-,-,-,-,-,-,-,-,-,"-2,54,583"
"Jun 24, 2025",-,-,-,-,"1,090","2,67,171",0,-,-,-,-,-,-,-,-,-,"-2,66,081"
"Jun 23, 2025",-,-,-,-,906,"2,51,686",0,-,-,-,-,-,-,-,-,-,"-2,50,780"
"Jun 22, 2025",-,-,-,-,285,"1,96,522",0,-,-,-,-,-,-,-,-,-,"-1,96,237"
"Jun 21, 2025",-,-,-,-,946,"2,35,683",0,-,-,-,-,-,-,-,-,-,"-2,34,737"
"Jun 20, 2025",-,-,-,-,"2,659","3,03,886",-125,-,-,-,-,-,-,-,-,-,"-3,01,352"
"Jun 19, 2025",-,-,-,-,"1,323","3,22,568",-175,-,-,-,-,-,-,-,-,-,"-3,21,420"
"Jun 18, 2025",-,-,-,-,"1,389","2,96,073","-1,139",-,-,-,-,-,-,-,-,-,"-2,95,823"
"Jun 17, 2025",-,-,-,-,"1,297","2,99,971",0,-,-,-,-,-,-,-,-,-,"-2,98,674"
"Jun 16, 2025",-,-,-,-,"1,289","2,77,831",0,-,-,10,-,-,-,-,-,-,"-2,76,532"
"Jun 15, 2025",-,-,-,-,48,"2,05,124",0,-,-,-,-,-,-,-,-,-,"-2,05,076"
"Jun 14, 2025",-,-,-,-,8,"2,19,212",0,-,-,-,-,-,-,-,-,-,"-2,19,204"
"Jun 13, 2025",-,-,-,-,"2,248","3,73,129",0,-,-,-,-,-,-,-,-,-,"-3,70,881"
"Jun 12, 2025",-,-,-,-,"1,095","2,85,659",0,-,-,-,-,-,-,-,-,-,"-2,84,564"
"Jun 11, 2025",-,-,-,-,"1,124","2,67,414","1,663",-,-,-,-,-,-,-,-,-,"-2,64,628"
"Jun 10, 2025",-,-,"3,853",-,16,"2,72,671","-1,513",-,-,-,-,-,-,-,-,-,"-2,70,315"
"Jun 09, 2025",-,-,"3,711",-,"2,123","2,58,855",0,-,-,-,-,-,-,-,-,-,"-2,53,021"
"Jun 08, 2025",-,-,-,-,25,"1,96,222",0,-,-,-,-,-,-,-,-,-,"-1,96,197"
"Jun 07, 2025",-,-,-,-,58,"1,97,270",0,-,-,-,-,-,-,-,-,-,"-1,97,212"
