,adj_close,return,india_vix,1Y,3Y,5Y,10Y,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d,rv_30d,rv_30d_ann,vix_30d,vix_pct,vix_ann_est,rv_30d_ann_filled,vix_minus_rv,yield_slope_10y_1y,yield_curvature,yield_5y_3y,vol_liq_interaction,high_vol_flag,liquidity_stress_flag,rv_90d,rv_90d_ann,vol_cluster_ratio,pred_2,pred_3,pred_4,regime_ensemble,regime_hmm_2,regime_hmm_3,regime_hmm_4
2015-04-09,8778.299805,0.007333,14.420000,,,,,-6527.000000,-4593.900000,44157.738200,-0.043800,0.010099,0.160317,14.917407,14.420000,0.144200,0.160317,-0.016117,,,,-0.007022,0,0,0.009913,0.157363,1.018775,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-10,8780.349609,0.000234,14.260000,,,,,19150.000000,-4075.233300,44348.150600,0.523700,0.009432,0.149735,14.720741,14.260000,0.142600,0.149735,-0.007135,,,,0.078416,0,0,0.009835,0.156132,0.959026,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-13,8834.000000,0.006110,14.490000,,,,,20026.000000,-2581.000000,44380.923800,0.509400,0.009168,0.145532,14.670370,14.490000,0.144900,0.145532,-0.000632,,,,0.074134,0,0,0.009782,0.155282,0.937213,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-16,8706.700195,-0.014410,14.950000,,,,,9628.000000,1276.200000,44178.952400,0.189000,0.009756,0.154878,14.636154,14.950000,0.149500,0.154878,-0.005378,,,,0.029272,0,0,0.009884,0.156906,0.987081,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-17,8606.000000,-0.011566,15.040000,,,,,28104.000000,2635.466700,44361.877800,0.574100,0.009781,0.155273,14.651111,15.040000,0.150400,0.155273,-0.004873,,,,0.089142,0,0,0.009920,0.157479,0.985990,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-20,8448.099609,-0.018348,16.299999,,,,,26863.000000,3381.766700,44581.654700,0.526700,0.009641,0.153041,14.669259,16.299999,0.163000,0.153041,0.009959,,,,0.080607,0,0,0.010103,0.160376,0.954267,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-21,8377.750000,-0.008327,17.030001,,,,,39031.000000,3845.366700,44886.805100,0.783900,0.009712,0.154166,14.724815,17.030001,0.170300,0.154166,0.016134,,,,0.120851,0,0,0.010080,0.160018,0.963431,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-22,8429.700195,0.006201,17.209999,,,,,8590.000000,3511.033300,44810.251800,0.113300,0.009827,0.156001,14.801852,17.209999,0.172100,0.156001,0.016099,,,,0.017675,0,0,0.010035,0.159297,0.979306,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-23,8398.299805,-0.003725,18.500000,,,,,9733.000000,3267.033300,44753.864500,0.144500,0.009626,0.152815,14.940741,18.500000,0.185000,0.152815,0.032185,,,,0.022082,0,0,0.009974,0.158334,0.965145,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-24,8305.250000,-0.011080,19.110001,,,,,30307.000000,2870.766700,44448.888000,0.617300,0.009460,0.150165,15.094074,19.110001,0.191100,0.150165,0.040935,,,,0.092697,0,0,0.009990,0.158585,0.946905,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
